Litter_size,Fetus_genotype,Placenta_mass,Fetal_mass,Fetal_placental ratio,Fetal_sex,Maternal_genotype,Dam,isFemale
8,wt,0.13,1.13,8.692307692,M,fl/+,1,0.0
8,wt,0.12,1.1,9.166666667,M,fl/+,1,0.0
8,wt,0.15,1.17,7.8,M,fl/+,1,0.0
8,wt,0.15,1.1,7.333333333,F,fl/+,1,1.0
8,wt,0.16,1.16,7.25,M,fl/+,1,0.0
8,wt,0.17,1.21,7.117647059,M,fl/+,1,0.0
8,wt,0.2,1.2,6.0,M,fl/+,1,0.0
8,wt,0.16,1.21,7.5625,F,fl/+,1,1.0
1,wt,0.14,0.89,6.357142857,F,fl/fl,2,1.0
8,het,0.2,1.05,5.25,F,HET,3,1.0
8,wt,0.15,1.17,7.8,F,HET,3,1.0
8,wt,0.11,1.16,10.54545455,F,HET,3,1.0
8,het,0.11,1.07,9.727272727,M,HET,3,0.0
8,het,0.17,1.08,6.352941176,M,HET,3,0.0
8,wt,0.15,1.29,8.6,F,HET,3,1.0
8,resorp,,,,,HET,3,
8,wt,0.14,1.07,7.642857143,F,HET,3,1.0
7,wt,0.11,1.11,10.09090909,F,fl/+,4,1.0
7,wt,0.09,1.11,12.33333333,F,fl/+,4,1.0
7,wt,0.1,1.22,12.2,F,fl/+,4,1.0
7,wt,0.1,1.16,11.6,F,fl/+,4,1.0
7,wt,0.08,1.14,14.25,M,fl/+,4,0.0
7,wt,0.1,1.14,11.4,F,fl/+,4,1.0
7,wt,0.12,1.36,11.33333333,F,fl/+,4,1.0
9,wt,0.15,1.04,6.933333333,M,fl/fl,5,0.0
9,het,0.15,1.2,8.0,F,fl/fl,5,1.0
9,ko,0.16,1.29,8.0625,F,fl/fl,5,1.0
9,wt,0.17,1.16,6.823529412,M,fl/fl,5,0.0
9,ko,0.17,1.23,7.235294118,F,fl/fl,5,1.0
9,resorp,,,,,fl/fl,5,
9,wt,0.17,1.13,6.647058824,F,fl/fl,5,1.0
9,wt,0.16,1.14,7.125,M,fl/fl,5,0.0
9,wt,0.15,1.17,7.8,M,fl/fl,5,0.0
7,wt,0.1,1.51,15.1,F,fl/fl,6,1.0
7,resorp,,,,,fl/fl,6,
7,wt,0.12,1.49,12.41666667,M,fl/fl,6,0.0
7,resorp,,,,,fl/fl,6,
7,ko,0.13,1.29,9.923076923,F,fl/fl,6,1.0
7,het,0.14,1.44,10.28571429,F,fl/fl,6,1.0
7,ko,0.17,1.46,8.588235294,M,fl/fl,6,0.0
12,het,0.13,0.72,5.538461538,F,fl/fl,7,1.0
12,het,0.1,0.59,5.9,F,fl/fl,7,1.0
12,wt,0.1,0.73,7.3,F,fl/fl,7,1.0
12,het,0.12,0.7,5.833333333,M,fl/fl,7,0.0
12,wt,0.09,0.64,7.111111111,M,fl/fl,7,0.0
12,wt,0.1,0.72,7.2,M,fl/fl,7,0.0
12,wt,0.09,0.65,7.222222222,F,fl/fl,7,1.0
12,ko,0.09,0.64,7.111111111,M,fl/fl,7,0.0
12,het,0.1,0.63,6.3,F,fl/fl,7,1.0
12,wt,0.1,0.66,6.6,F,fl/fl,7,1.0
12,wt,0.09,0.7,7.777777778,F,fl/fl,7,1.0
12,wt,0.1,0.67,6.7,F,fl/fl,7,1.0
9,het,0.06,1.05,17.5,F,fl/fl,8,1.0
9,wt,0.09,1.18,13.11111111,M,fl/fl,8,0.0
9,het,0.06,1.06,17.66666667,F,fl/fl,8,1.0
9,het,0.07,0.99,14.14285714,F,fl/fl,8,1.0
9,ko,0.08,0.95,11.875,M,fl/fl,8,0.0
9,het,0.05,0.75,15.0,M,fl/fl,8,0.0
9,ko,0.06,0.97,16.16666667,M,fl/fl,8,0.0
9,het,0.06,0.92,15.33333333,M,fl/fl,8,0.0
9,het,0.06,0.88,14.66666667,F,fl/fl,8,1.0
9,ko,0.04,0.66,16.5,F,HET,9,1.0
9,ko,0.06,0.67,11.16666667,M,HET,9,0.0
9,wt,0.06,0.71,11.83333333,F,HET,9,1.0
9,het,0.07,0.68,9.714285714,M,HET,9,0.0
9,ko,0.07,0.75,10.71428571,M,HET,9,0.0
9,resorp,,,,,HET,9,
9,het,0.05,0.67,13.4,F,HET,9,1.0
9,ko,0.07,0.68,9.714285714,M,HET,9,0.0
9,wt,0.08,0.7,8.75,F,HET,9,1.0
7,het,0.07,1.14,16.28571429,M,HET,10,0.0
7,wt,0.06,1.16,19.33333333,M,HET,10,0.0
7,ko,0.09,1.17,13.0,M,HET,10,0.0
7,wt,0.08,1.28,16.0,M,HET,10,0.0
7,wt,0.08,1.16,14.5,F,HET,10,1.0
7,het,0.09,1.22,13.55555556,F,HET,10,1.0
7,het,0.07,1.19,17.0,F,HET,10,1.0
8,wt,0.1,0.36,3.6,F,fl/+,11,1.0
8,resorp,,,,,fl/+,11,
8,wt,0.09,0.33,3.666666667,M,fl/+,11,0.0
8,wt,0.1,0.34,3.4,M,fl/+,11,0.0
8,resorp,,,,,fl/+,11,
8,wt,0.1,0.3,3.0,F,fl/+,11,1.0
8,wt,0.08,0.37,4.625,M,fl/+,11,0.0
8,wt,0.08,0.35,4.375,M,fl/+,11,0.0
9,wt,0.09,0.66,7.333333333,M,fl/+,12,0.0
9,wt,0.08,0.54,6.75,F,fl/+,12,1.0
9,wt,0.06,0.65,10.83333333,F,fl/+,12,1.0
9,wt,0.09,0.84,9.333333333,M,fl/+,12,0.0
9,wt,0.08,0.8,10.0,M,fl/+,12,0.0
9,wt,0.08,0.82,10.25,F,fl/+,12,1.0
9,wt,0.05,0.74,14.8,M,fl/+,12,0.0
9,wt,0.1,0.82,8.2,M,fl/+,12,0.0
9,wt,0.09,0.82,9.111111111,M,fl/+,12,0.0
9,wt,0.08,1.15,14.375,M,fl/+,13,0.0
9,wt,0.07,1.09,15.57142857,M,fl/+,13,0.0
9,wt,0.07,1.16,16.57142857,F,fl/+,13,1.0
9,wt,0.1,1.14,11.4,M,fl/+,13,0.0
9,wt,0.07,1.1,15.71428571,F,fl/+,13,1.0
9,wt,0.1,1.1,11.0,M,fl/+,13,0.0
9,wt,0.07,1.13,16.14285714,M,fl/+,13,0.0
9,wt,0.09,1.18,13.11111111,M,fl/+,13,0.0
9,wt,0.08,1.18,14.75,M,fl/+,13,0.0
9,het,0.07,1.11,15.85714286,F,HET,14,1.0
9,wt,0.08,1.07,13.375,M,HET,14,0.0
9,het,0.06,0.92,15.33333333,F,HET,14,1.0
9,wt,0.08,1.06,13.25,M,HET,14,0.0
9,wt,0.05,0.96,19.2,M,HET,14,0.0
9,het,0.08,1.03,12.875,M,HET,14,0.0
9,wt,,,,M,HET,14,0.0
9,het,0.07,1.1,15.71428571,F,HET,14,1.0
9,wt,0.06,1.06,17.66666667,F,HET,14,1.0
11,wt,0.09,0.7,7.777777778,M,fl/fl,15,0.0
11,wt,0.07,0.68,9.714285714,F,fl/fl,15,1.0
11,wt,0.08,0.68,8.5,F,fl/fl,15,1.0
11,wt,0.09,0.7,7.777777778,M,fl/fl,15,0.0
11,het,0.08,0.68,8.5,M,fl/fl,15,0.0
11,het,0.07,0.65,9.285714286,M,fl/fl,15,0.0
11,wt,0.06,0.62,10.33333333,F,fl/fl,15,1.0
11,het,0.08,0.61,7.625,F,fl/fl,15,1.0
11,het,0.06,0.68,11.33333333,M,fl/fl,15,0.0
11,het,0.07,0.64,9.142857143,F,fl/fl,15,1.0
11,wt,0.07,0.66,9.428571429,F,fl/fl,15,1.0
